A,C,B
1,89,31
1,64,42
1,36,38
1,39,33
0,92,75
1,33,17
0,75,67
0,75,85
0,44,70
0,84,88
0,92,76
1,40,37
1,10,14
1,98,48
1,49,35
0,75,87
1,46,34
1,28,17
0,57,79
0,73,78
0,92,70
1,41,31
1,7,16
0,69,89
0,76,91
1,84,34
1,5,12
1,69,21
0,41,76
0,72,79
0,78,70
1,86,29
1,59,22
1,56,9
1,13,27
1,38,2
0,90,82
1,82,30
0,87,78
0,75,86
0,44,76
1,76,44
0,59,79
0,79,76
0,94,80
0,59,62
0,99,85
0,66,87
0,75,63
1,48,31
1,31,31
0,90,77
0,57,74
1,77,14
0,59,83
0,67,87
1,31,12
1,24,17
1,39,12
1,33,41
1,86,34
1,26,31
0,71,88
1,43,30
1,23,17
1,8,23
1,27,22
1,65,38
1,18,9
1,28,21
1,28,17
1,85,34
1,77,21
0,71,77
1,19,10
1,33,17
1,28,13
1,11,9
1,43,36
0,63,81
0,54,76
0,88,93
0,54,80
0,91,62
1,44,4
1,81,19
0,90,72
1,13,23
1,6,25
1,4,24
1,74,11
0,81,70
1,78,18
1,77,47
1,5,10
0,86,93
0,75,89
0,73,84
0,71,79
1,25,28
1,7,29
1,44,31
1,36,33
1,23,38
1,1,14
0,49,68
1,97,15
1,46,35
1,61,20
1,35,42
0,82,76
1,59,44
1,56,34
1,62,38
0,79,70
0,88,78
1,57,38
0,95,77
1,57,42
1,92,38
1,96,43
1,54,23
1,13,20
1,5,9
1,28,37
1,53,39
1,35,29
0,55,67
1,50,4
1,44,34
1,61,34
1,89,21
1,24,19
0,58,77
1,73,33
1,63,33
1,66,31
1,95,53
0,68,70
1,19,22
0,81,82
0,62,86
0,85,73
1,57,28
1,61,32
1,8,19
0,93,75
0,45,91
1,50,29
0,87,84
1,65,31
0,86,74
1,20,25
1,22,19
0,85,78
1,62,34
0,89,83
1,23,30
1,15,17
0,83,72
1,47,39
1,27,35
0,36,68
0,94,76
1,54,30
0,86,79
1,9,25
0,77,93
0,89,84
0,64,71
1,72,34
1,43,8
1,92,36
0,90,79
1,82,15
0,88,74
1,6,11
1,40,28
1,35,22
1,23,34
1,35,2
1,51,29
0,85,85
1,57,45
1,1,16
1,32,26
1,85,49
1,85,28
0,76,88
1,80,27
1,99,24
1,33,17
1,73,15
0,57,80
0,63,72
1,58,25
0,94,85
1,28,27
0,95,85
1,68,26
0,79,83
1,23,15
0,71,80
1,37,20
1,92,47
1,6,12
1,75,36
1,81,36
0,90,72
0,77,67
1,95,22
1,71,30
1,19,14
0,81,82
1,24,23
0,89,83
1,83,47
0,93,69
0,89,80
1,14,7
1,49,12
0,56,75
0,67,77
1,33,15
0,75,87
0,98,84
0,73,73
1,47,9
1,23,12
0,65,85
1,74,53
1,3,11
1,68,11
1,87,16
1,17,10
1,85,15
1,66,34
1,31,29
1,7,9
0,93,78
0,75,79
1,44,3
0,81,63
0,62,69
1,3,5
1,5,17
1,67,36
1,70,56
0,76,73
0,67,81
1,43,38
0,67,76
1,27,7
0,86,65
0,93,76
0,56,81
1,44,30
0,71,67
1,67,28
0,62,68
1,42,23
1,90,7
1,75,25
1,58,29
1,34,22
1,80,26
0,73,77
1,77,21
0,74,74
0,64,64
0,77,73
1,48,42
1,40,46
0,55,58
1,83,28
1,62,11
0,55,67
1,43,43
0,70,68
0,98,72
1,54,37
1,5,6
1,2,10
0,71,70
0,75,70
0,94,79
1,69,7
0,69,73
1,72,2
1,77,56
1,58,29
1,12,15
1,44,29
1,66,28
0,45,78
1,55,18
1,26,20
1,80,29
1,24,30
1,27,25
1,71,32
1,56,29
0,66,73
1,11,1
1,28,19
0,83,69
0,84,79
1,89,34
0,66,74
1,54,23
1,88,16
1,80,22
1,38,23
0,79,76
1,44,36
0,76,78
1,61,32
1,0,18
1,51,57
1,71,28
0,90,70
1,61,17
0,81,72
0,66,69
1,94,14
0,58,79
1,13,28
1,5,10
0,80,79
1,29,21
0,76,84
0,90,79
0,65,78
1,12,29
1,77,29
0,92,75
1,4,12
1,66,20
1,31,34
1,73,33
0,90,64
1,21,16
1,78,39
0,92,87
0,57,73
1,62,12
1,86,33
0,82,65
1,1,14
1,55,56
0,60,63
0,61,73
1,33,13
0,84,83
1,58,22
0,91,80
1,51,29
1,47,36
1,78,40
0,76,85
0,63,87
1,20,11
1,59,38
0,65,70
1,14,24
0,98,87
0,51,85
0,94,82
1,11,26
1,16,21
0,67,58
1,92,23
1,9,25
1,70,43
0,67,73
0,56,69
0,72,98
1,39,4
1,57,21
1,37,28
0,77,83
1,21,30
1,82,27
0,55,80
1,49,41
1,26,17
1,84,22
0,81,75
1,84,15
0,83,76
1,63,33
1,38,31
1,67,39
1,70,32
0,78,74
1,32,30
1,94,31
0,74,80
1,73,49
1,47,23
1,22,8
1,40,37
1,34,24
0,82,88
0,74,80
1,84,36
0,93,61
1,28,32
1,24,5
0,77,71
0,80,91
1,95,31
1,61,35
0,70,84
1,74,39
1,48,33
1,86,33
1,75,37
1,30,29
0,72,67
0,90,84
1,43,42
1,79,28
1,69,42
1,39,34
1,78,27
1,30,33
0,98,84
0,77,71
0,83,72
0,72,82
1,41,32
0,72,70
1,45,25
1,24,33
0,70,80
1,60,25
0,86,69
1,70,31
0,65,72
1,38,12
0,66,71
1,11,5
1,40,26
1,80,2
0,86,62
0,71,73
0,77,73
0,60,68
1,76,33
0,73,76
1,76,32
0,94,76
0,69,69
1,81,7
1,25,23
0,85,66
0,65,65
0,45,76
0,66,70
0,92,75
1,2,18
1,13,27
1,55,19
1,0,13
1,39,38
1,48,13
1,60,13
1,37,46
0,56,78
0,76,80
1,86,62
1,36,9
1,35,32
1,57,15
1,65,31
1,47,9
1,52,44
1,1,18
0,73,57
0,59,75
1,84,18
1,51,22
1,77,14
1,37,27
0,63,79
0,44,70
1,58,15
0,84,88
1,39,33
1,9,16
0,58,81
1,74,34
0,85,86
1,25,21
0,91,82
1,87,30
0,79,80
1,91,18
1,55,32
1,57,37
1,4,8
1,10,21
1,48,55
0,99,76
1,15,5
1,30,31
1,12,7
1,77,11
1,67,17
1,98,47
0,63,89
0,89,76
1,25,20
0,57,74
1,2,14
1,83,35
1,60,21
0,73,67
1,47,29
0,79,74
0,97,78
0,56,70
1,44,6
1,0,15
0,69,58
0,71,81
0,70,70
1,56,20
1,78,34
1,59,34
0,80,70
1,33,20
1,86,50
0,87,82
1,37,18
0,58,55
0,77,77
0,97,82
1,55,24
0,87,65
1,24,20
1,31,7
1,83,20
1,55,0
0,54,70
0,66,70
1,15,10
0,65,83
1,85,18
1,14,36
1,14,17
0,59,79
0,85,81
0,60,79
1,40,27
0,93,76
0,73,76
0,92,79
1,59,10
0,95,81
0,51,64
0,85,69
1,56,19
1,22,5
0,47,67
0,75,78
1,32,26
1,60,28
0,94,66
1,36,22
0,73,75
1,20,24
1,56,33
1,13,43
1,88,34
0,69,81
0,81,85
0,90,76
1,45,29
1,33,2
0,81,67
1,61,3
0,51,75
1,82,42
1,3,25
1,10,33
0,96,85
1,34,13
1,40,34
1,42,32
0,60,85
0,77,74
1,27,11
0,47,71
1,66,21
0,64,80
1,56,7
0,93,74
1,59,35
1,76,17
0,89,67
1,48,20
0,61,78
1,91,9
1,22,28
0,56,72
1,52,20
1,53,10
0,79,75
0,75,74
0,70,83
1,64,45
0,74,74
0,79,89
0,83,84
1,74,24
1,6,6
1,32,23
1,70,33
1,31,25
0,91,74
1,36,32
1,41,33
1,55,39
1,51,43
0,65,83
0,86,82
1,94,36
0,57,70
0,75,84
0,88,80
1,24,24
0,92,68
1,25,27
0,66,84
1,22,27
0,86,70
1,37,30
1,41,36
1,56,20
0,56,82
1,42,27
1,68,31
1,26,15
1,4,11
1,37,18
1,42,49
1,32,24
0,84,78
0,85,61
1,24,43
0,80,78
1,73,34
1,37,25
1,25,43
0,74,66
0,99,87
0,73,79
1,72,20
0,58,82
1,52,36
0,85,78
1,84,37
1,2,21
1,50,4
0,69,74
0,96,77
1,90,26
0,69,78
1,63,46
0,65,83
1,40,25
1,25,44
1,38,27
1,92,34
0,96,79
1,99,25
1,14,25
0,98,79
0,95,85
1,73,34
1,58,19
1,12,2
0,99,75
1,20,13
1,36,21
1,10,32
0,68,72
0,76,69
0,54,80
0,81,80
1,53,37
0,52,67
0,71,74
0,68,74
1,18,27
1,40,13
1,54,19
1,22,15
0,67,80
0,82,78
1,80,5
0,94,85
1,47,26
0,88,94
1,44,19
1,33,47
0,61,76
0,64,68
1,77,37
1,81,26
1,5,23
1,28,22
1,6,31
1,21,16
1,92,21
1,72,29
1,11,16
1,24,15
1,44,26
1,71,38
1,2,17
1,41,27
1,91,23
1,74,28
0,64,69
1,49,29
1,31,18
1,40,15
1,28,26
0,46,69
0,92,76
1,65,32
0,74,68
0,82,78
1,53,47
1,83,20
1,8,24
0,83,72
1,57,15
0,82,88
1,50,43
1,42,14
1,5,22
1,22,28
1,44,31
0,64,69
1,54,18
1,12,12
1,93,17
0,84,61
1,65,43
1,11,10
1,27,32
1,32,22
1,6,2
1,25,31
0,78,76
1,37,31
0,93,88
1,51,28
1,75,6
1,69,34
0,55,68
0,80,78
0,86,82
1,42,27
0,48,71
0,82,71
0,66,89
1,8,9
1,75,28
0,54,60
1,4,20
0,65,89
1,73,2
0,65,69
1,25,22
1,99,35
0,48,79
1,30,35
0,97,82
1,45,30
1,10,13
1,41,7
1,65,26
1,23,26
0,94,81
1,88,18
0,68,78
0,73,87
1,45,37
1,75,51
0,83,76
1,40,15
0,79,76
1,70,20
1,28,22
1,39,24
0,95,86
1,22,20
1,19,15
1,31,24
1,67,28
1,22,28
1,7,18
1,79,14
1,74,14
1,70,26
1,29,48
0,82,79
1,73,49
1,72,34
1,4,15
1,65,28
0,84,92
0,49,68
1,53,34
1,61,15
0,83,75
0,48,85
0,98,70
0,91,88
1,12,36
0,73,87
0,58,76
1,66,31
0,78,68
0,88,75
1,58,41
1,45,31
1,87,20
1,5,15
1,32,19
1,72,22
1,10,16
0,81,87
1,17,18
1,21,38
1,14,13
0,90,92
0,83,77
0,93,60
0,94,69
0,81,67
0,84,75
0,59,61
1,38,10
0,54,81
1,86,29
1,28,35
0,76,82
0,46,87
0,92,85
1,66,29
1,22,8
0,71,66
0,88,75
1,63,54
1,15,11
0,75,78
0,71,81
1,46,26
0,78,88
0,79,61
1,53,0
1,77,45
1,23,21
1,26,30
0,50,61
1,37,35
1,59,34
1,21,32
1,37,36
0,53,76
0,96,80
1,55,9
1,46,7
1,99,36
0,70,86
1,56,33
1,94,37
0,66,82
1,21,14
0,79,76
1,98,25
0,76,77
1,42,21
1,13,11
1,30,16
1,52,2
0,80,74
0,62,70
0,86,77
1,33,26
1,34,36
0,54,81
0,75,83
1,51,41
0,47,70
0,65,86
0,59,76
0,89,76
0,53,84
1,47,17
0,87,91
1,2,21
0,48,68
1,77,36
1,41,32
0,85,61
0,85,72
1,18,26
0,59,78
0,83,78
0,99,65
1,58,25
0,52,73
1,38,37
1,90,33
1,21,34
0,57,70
1,20,13
0,73,76
1,39,8
1,34,9
1,24,48
0,66,86
0,58,85
0,82,79
0,62,74
1,83,27
1,21,30
1,34,16
1,50,29
0,67,80
0,99,66
0,83,78
0,86,78
0,58,72
0,89,77
1,49,46
0,64,73
0,61,78
1,82,30
0,63,61
0,66,68
1,43,54
1,74,10
1,13,20
0,57,79
0,96,82
0,64,80
1,71,36
1,22,37
1,40,45
1,87,38
1,11,12
1,13,21
0,60,83
1,25,24
0,82,76
1,45,27
0,65,65
0,85,63
1,81,46
1,96,48
1,20,24
0,89,77
0,92,75
0,81,79
1,82,44
1,8,25
1,58,36
0,93,84
1,60,17
0,98,72
0,81,78
1,57,22
0,55,86
1,27,21
1,53,40
1,55,17
0,98,72
0,64,83
0,70,55
0,80,64
0,60,83
0,80,72
0,90,94
1,3,14
0,98,69
1,11,5
1,71,33
0,66,77
0,46,75
0,51,67
1,37,27
1,50,0
1,10,10
1,27,22
1,81,6
0,70,71
0,79,71
0,48,76
0,59,70
0,68,78
1,16,23
1,88,25
1,97,36
1,90,35
1,49,26
1,35,33
1,59,44
0,70,80
0,89,83
1,62,38
0,58,55
1,84,55
0,90,84
0,67,75
1,72,24
0,86,63
1,11,34
1,34,37
0,55,87
1,20,41
1,10,16
1,29,19
1,55,27
0,73,66
1,8,28
1,61,12
0,43,75
1,46,32
1,87,30
1,89,33
1,20,29
0,79,77
1,56,24
1,1,13
1,64,21
1,52,23
0,48,63
0,82,85
1,78,29
0,62,69
1,56,21
1,94,38
1,45,13
1,80,43
1,14,12
0,89,92
1,2,7
1,70,44
1,25,18
0,94,72
1,3,19
1,38,11
0,99,82
0,51,83
0,90,85
1,8,24
1,31,35
1,90,23
0,81,84
0,67,80
1,16,18
1,42,14
0,41,71
1,19,3
0,89,82
1,63,6
0,91,86
0,70,88
1,95,29
1,14,14
0,57,86
0,97,75
1,29,15
1,65,47
1,35,11
1,40,15
0,51,63
0,91,73
1,50,40
0,78,82
0,95,82
0,36,73
1,82,7
1,40,14
1,3,11
0,79,62
1,97,67
1,35,39
1,40,11
0,90,79
1,60,27
0,78,72
1,62,42
1,57,28
1,74,20
0,77,77
1,25,18
0,64,67
1,80,16
0,90,67
0,87,89
1,14,9
1,37,43
1,1,9
0,84,63
1,38,24
0,96,83
0,97,90
0,88,81
1,15,17
0,80,77
0,82,74
1,77,25
1,59,27
1,57,1
1,24,30
0,75,62
1,17,19
0,70,70
1,17,30
0,86,80
1,70,23
0,85,82
0,95,75
1,21,6
0,60,63
1,79,34
1,91,25
0,77,85
1,38,18
0,90,83
0,69,65
1,31,30
1,30,0
1,60,34
0,71,72
1,7,25
1,64,19
1,30,20
0,65,65
1,79,35
0,51,93
1,18,28
0,61,71
1,59,20
1,60,14
1,2,22
1,58,4
0,50,78
1,58,30
0,66,72
0,66,79
1,61,32
1,56,18
1,43,22
1,12,19
1,30,32
1,28,20
1,59,32
0,56,84
0,92,75
1,86,34
1,14,31
1,8,26
0,58,79
0,68,73
1,77,18
1,50,28
1,68,34
0,62,68
1,21,20
1,56,24
1,63,23
1,7,11
1,87,51
1,38,33
1,52,24
0,86,83
0,99,86
0,85,79
0,67,73
1,89,34
1,99,53
0,90,69
1,85,14
1,46,25
0,93,78
0,45,81
1,29,21
0,46,71
1,65,36
1,34,17
1,79,28
1,63,35
0,73,78
0,66,77
0,60,79
0,89,76
1,50,27
0,71,77
1,55,22
0,94,59
0,90,74
0,84,61
1,39,13
1,53,5
1,73,23
0,87,80
1,98,23
0,80,75
1,17,17
1,52,42
1,80,34
0,72,78
0,70,67
0,66,59
0,82,85
1,5,11
0,86,65
1,49,35
1,45,36
0,86,76
1,58,21
1,81,14
0,50,73
1,94,33
1,23,8
1,49,34
1,33,16
1,11,24
0,45,79
1,7,22
1,61,35
0,74,60
1,28,10
1,43,9
0,35,63
1,53,40
0,70,77
1,65,12
0,77,77
1,43,40
1,34,27
0,51,75
0,99,66
1,37,5
1,35,43
1,40,27
1,20,12
1,87,16
1,88,27
1,45,9
0,67,79
1,25,32
1,61,13
0,92,71
1,46,31
0,45,76
1,65,38
0,55,65
1,30,30
0,55,83
1,15,21
1,26,19
0,76,78
0,72,74
1,64,19
0,92,79
1,69,24
0,82,64
0,78,73
1,67,24
1,29,11
1,76,17
1,59,43
1,87,37
0,40,73
0,68,73
1,34,15
1,72,49
0,61,71
1,5,9
1,56,14
0,56,81
0,87,86
1,21,39
1,69,12
0,50,82
1,12,18
1,16,40
1,5,22
0,88,77
1,37,30
0,95,70
1,8,22
0,76,84
0,89,83
0,75,77
1,99,22
1,78,39
0,98,79
0,52,77
1,27,30
0,80,81
0,88,75
1,29,30
1,62,32
1,1,12
0,83,79
1,26,37
0,89,69
1,15,17
1,70,22
0,77,74
1,65,15
1,38,25
0,83,83
1,13,8
1,90,27
1,45,36
1,82,42
0,66,72
1,43,23
1,18,24
1,69,29
1,52,23
0,74,87
0,93,83
1,32,31
1,17,6
1,46,23
0,91,72
1,43,24
0,71,91
0,82,84
1,13,26
1,20,21
0,67,70
0,73,74
1,57,31
0,96,77
1,41,16
1,70,26
0,79,72
1,83,53
1,80,28
1,80,26
1,53,10
1,26,24
0,51,72
0,72,74
1,51,20
0,91,67
0,75,64
0,88,74
1,77,34
0,72,60
1,90,38
1,90,43
0,93,74
1,98,42
0,68,80
0,88,79
1,52,22
1,88,15
0,86,74
1,18,23
0,60,92
1,65,32
0,91,78
1,62,50
1,50,27
1,54,31
0,69,79
0,96,80
1,64,17
1,73,47
1,39,26
0,73,64
0,63,82
0,69,74
0,69,75
0,96,80
1,69,13
1,62,40
1,50,23
1,25,7
0,59,75
1,26,21
1,74,40
0,51,90
1,51,41
0,67,77
1,91,16
0,40,79
1,53,55
0,72,68
0,52,66
0,76,73
0,80,76
1,70,39
1,53,9
1,10,6
1,38,22
0,93,74
0,84,77
1,82,21
0,60,81
1,66,42
1,76,19
1,50,59
1,82,23
0,91,76
0,77,80
0,67,63
0,71,76
0,94,69
1,61,28
0,85,89
0,57,62
0,90,74
1,29,11
0,67,84
1,34,23
0,54,67
1,30,22
1,78,51
0,70,77
1,83,30
1,95,31
0,92,72
0,87,72
1,62,15
0,81,79
1,94,29
1,23,25
1,30,11
0,90,60
1,15,28
1,5,16
1,14,18
1,41,32
1,67,29
0,91,68
0,82,70
1,35,20
1,23,40
1,74,28
0,37,66
1,76,20
1,38,41
1,38,16
1,45,34
0,64,74
1,85,14
0,92,71
1,57,34
0,89,69
0,99,68
1,12,19
1,80,39
1,76,31
0,91,81
1,29,24
1,18,13
1,81,39
1,48,29
0,66,79
1,14,20
1,17,16
1,54,55
0,87,72
0,88,73
0,63,76
1,71,52
1,39,14
1,13,39
0,71,67
1,64,50
0,74,78
1,67,55
1,70,48
0,46,68
0,85,79
1,70,8
1,1,14
0,62,63
1,31,10
1,38,18
1,49,19
0,99,70
1,42,22
1,23,1
1,64,49
0,73,76
1,70,27
1,7,21
0,60,87
1,86,22
1,39,16
0,66,81
0,80,71
1,76,26
1,58,24
1,4,20
1,98,51
1,74,28
1,42,36
0,57,65
1,24,15
0,92,90
1,1,12
0,63,77
0,96,66
1,45,37
0,84,75
0,67,82
0,92,87
1,18,39
1,62,31
1,97,22
0,78,71
1,67,36
0,69,81
1,61,38
1,33,11
1,30,35
0,79,68
1,76,30
1,24,27
1,93,50
1,25,13
0,88,80
0,87,75
1,99,36
0,58,79
0,97,82
0,85,88
1,54,13
1,79,32
1,52,23
0,70,74
1,44,20
0,72,74
1,44,34
0,82,94
1,6,26
1,37,33
0,76,70
1,38,28
0,67,71
1,77,23
0,65,76
1,71,36
1,61,37
1,58,3
1,52,33
1,10,7
1,10,27
0,90,92
1,35,45
1,35,37
0,70,70
1,43,17
1,47,9
0,54,85
0,56,81
1,17,21
1,23,22
0,72,64
0,76,74
1,1,14
1,16,16
1,78,28
0,77,80
1,53,19
1,44,19
0,66,80
0,73,65
0,77,78
1,85,25
0,96,96
0,78,68
1,5,15
1,53,48
0,55,87
0,79,78
0,71,77
1,24,29
1,54,23
0,81,72
0,95,90
1,51,52
1,60,17
1,10,24
1,78,37
0,91,80
0,74,71
1,1,22
1,89,45
0,78,85
1,33,36
1,53,35
0,82,77
1,69,27
1,51,37
1,68,20
1,7,14
1,96,40
0,60,63
0,66,80
1,9,11
1,63,25
1,34,20
0,54,81
1,26,11
0,85,69
1,69,45
1,3,21
1,70,38
1,50,24
1,32,22
1,16,18
1,74,38
0,46,85
1,8,13
0,44,76
1,48,37
1,48,46
1,32,9
0,81,66
1,35,33
1,27,20
1,40,32
1,98,33
1,60,37
1,10,20
1,24,22
1,41,15
0,89,80
1,47,38
1,51,49
1,72,41
0,99,74
1,10,17
0,72,74
0,62,68
1,40,35
1,89,48
0,61,69
0,75,67
1,48,37
0,92,90
1,55,54
0,64,81
0,66,73
1,17,12
0,59,75
1,78,48
1,2,16
1,52,22
0,60,72
1,16,6
1,10,11
0,62,76
0,70,83
0,68,94
1,0,18
0,71,80
0,47,77
0,61,82
1,12,26
1,50,19
0,89,84
1,66,29
1,23,15
0,80,67
1,40,38
1,47,14
1,68,14
1,26,28
0,78,82
1,49,35
1,31,22
1,73,39
1,15,13
1,55,28
1,40,29
1,78,32
1,35,17
1,65,31
0,85,68
1,12,29
1,41,28
0,33,64
1,63,35
1,55,14
1,61,12
1,74,16
1,75,36
1,63,59
1,39,26
0,90,82
1,50,25
1,90,17
0,99,61
1,43,12
1,84,44
0,77,70
0,56,66
1,7,14
1,65,45
1,26,30
1,27,58
0,72,73
1,65,38
1,62,21
0,78,90
0,39,72
0,54,75
0,98,79
1,31,23
0,55,68
1,71,15
0,93,66
0,87,72
1,54,36
0,35,76
0,68,72
0,74,80
1,24,31
1,46,31
0,81,70
0,59,76
1,58,38
1,45,35
0,70,75
1,48,40
1,66,33
1,42,33
0,74,62
1,47,31
1,52,0
1,72,23
1,35,15
0,77,74
1,53,26
0,93,80
0,90,71
1,98,45
1,41,27
0,93,80
1,82,33
0,68,72
1,90,24
0,86,79
1,98,36
1,10,8
1,21,24
1,23,32
1,23,14
1,7,23
0,98,75
1,74,43
0,59,74
0,73,78
1,79,19
1,51,24
1,58,22
0,93,76
1,45,36
0,70,94
0,79,63
1,16,19
1,41,15
1,28,25
1,1,16
1,19,32
1,59,34
0,76,98
1,85,45
0,94,67
0,91,87
1,91,9
0,65,84
0,76,78
1,44,44
1,69,23
1,90,25
1,3,16
1,21,14
1,5,14
1,29,31
0,98,82
1,54,15
1,71,17
1,23,26
0,74,74
1,51,0
1,16,30
1,68,51
1,84,53
1,58,35
1,82,24
0,63,82
0,79,78
1,70,22
1,51,31
1,9,17
1,34,17
0,96,74
1,91,13
1,79,19
1,51,12
1,95,48
1,39,23
1,31,32
1,87,8
0,47,85
1,52,15
0,52,78
0,50,75
1,98,15
1,91,42
0,53,62
1,3,16
1,57,37
1,18,7
0,42,66
1,4,13
1,29,1
1,25,17
0,94,71
0,85,69
1,22,13
1,38,21
1,60,10
0,79,77
0,73,83
0,50,72
1,92,33
1,43,19
0,86,61
1,81,13
1,98,39
1,79,28
0,32,77
0,65,70
0,87,78
1,81,7
1,9,17
0,61,62
1,56,16
1,50,39
1,78,25
0,65,76
1,61,29
1,42,25
1,69,31
0,67,77
0,90,75
0,69,75
1,26,25
0,75,83
1,16,28
0,87,78
1,31,17
0,56,68
1,46,24
1,36,16
1,34,39
1,31,32
1,58,36
1,69,48
1,14,16
1,3,10
0,86,81
1,60,23
1,73,21
0,62,84
1,83,41
1,33,25
1,38,17
1,67,25
1,12,12
0,52,78
0,73,78
1,56,36
0,60,72
1,63,37
0,82,68
1,52,18
1,54,40
1,39,24
1,41,22
1,6,19
0,57,82
0,57,69
0,86,85
0,82,79
1,13,12
1,93,50
1,0,17
1,0,10
0,81,85
0,74,74
1,41,31
1,55,13
1,46,42
0,58,86
0,66,81
0,89,81
1,60,32
1,76,28
0,96,76
1,29,19
1,67,26
0,46,69
0,76,81
1,71,38
1,87,38
1,5,20
1,24,19
1,81,17
0,41,78
1,86,25
0,93,87
0,87,86
0,76,80
1,38,41
0,94,80
1,69,20
1,72,47
0,71,84
1,48,27
0,53,79
1,41,26
1,11,11
1,25,24
0,55,59
0,58,69
0,70,73
1,61,32
1,56,31
0,73,92
0,92,71
0,56,60
0,75,69
0,65,72
0,66,87
1,39,26
1,42,12
0,76,81
1,4,7
0,48,78
1,33,18
1,26,24
1,29,28
0,91,75
1,41,21
1,1,1
1,45,37
0,49,84
0,74,76
1,45,13
1,73,38
1,24,24
1,58,23
0,85,73
0,68,69
0,59,79
0,91,64
0,77,81
1,53,13
1,56,23
0,63,81
1,4,8
0,65,66
1,24,6
1,81,9
1,43,23
0,98,68
1,12,13
1,75,16
0,82,75
0,61,75
1,93,34
0,75,74
1,72,23
0,56,76
1,41,38
1,86,41
0,90,65
1,78,25
1,56,53
0,98,79
1,96,21
0,64,80
0,84,79
1,46,22
1,40,31
0,94,69
1,96,33
1,47,17
1,34,41
0,47,67
0,86,75
1,58,30
0,68,77
1,39,23
1,58,36
1,25,7
1,61,36
0,39,69
1,41,18
0,59,87
0,99,78
0,84,79
0,80,69
1,90,25
1,5,20
0,91,64
1,57,24
1,53,26
1,46,32
0,56,71
1,59,39
0,58,80
0,86,76
1,88,16
1,48,24
0,76,70
0,84,82
0,80,76
1,58,16
1,84,19
1,77,29
1,9,25
1,44,21
1,29,20
0,57,69
1,52,43
1,99,13
0,89,71
0,84,71
1,33,33
1,55,19
1,86,28
1,66,37
1,66,24
1,94,33
0,86,69
1,56,37
1,68,45
0,66,71
1,25,23
0,91,74
1,42,34
0,63,74
1,43,30
1,22,13
1,68,47
0,69,70
1,40,11
0,73,64
1,8,29
0,51,68
1,37,23
0,55,64
0,61,80
1,70,17
1,20,15
0,85,90
1,65,14
1,57,27
1,35,3
1,88,25
0,83,70
1,13,10
1,40,37
0,97,83
0,67,86
1,13,21
0,81,75
0,56,79
1,84,36
1,4,11
0,81,72
1,2,19
0,68,83
0,81,82
0,91,78
1,83,4
1,46,11
1,21,24
1,4,21
0,49,67
1,12,18
1,62,9
1,41,33
1,73,11
1,76,58
1,31,38
0,90,85
1,74,25
0,95,79
1,21,22
1,57,28
1,85,20
0,48,74
0,72,79
0,64,86
1,64,47
1,37,24
1,61,14
1,36,23
1,5,11
1,84,46
1,32,33
1,33,19
0,71,75
1,64,35
1,32,34
0,88,78
0,66,75
1,94,42
1,42,1
0,74,70
1,89,31
1,72,41
0,70,78
0,70,68
0,74,80
1,44,43
1,95,62
1,0,21
0,76,69
0,69,67
1,36,23
1,57,29
1,93,34
0,41,64
1,46,23
1,50,28
1,94,11
0,65,67
0,89,77
0,92,77
1,29,30
1,66,5
1,61,30
0,79,72
1,77,36
0,83,77
0,75,82
1,24,16
1,58,4
1,24,27
1,39,17
1,70,24
0,75,74
1,58,45
1,16,21
0,94,81
1,62,31
1,61,34
1,94,35
0,70,74
1,45,18
1,46,27
1,91,34
1,26,20
1,5,19
1,15,31
0,74,78
1,62,13
0,74,70
1,70,32
0,89,84
1,61,26
1,51,35
1,40,32
1,37,38
0,91,75
0,97,72
0,85,84
1,41,34
0,83,84
1,68,28
1,18,10
0,74,70
0,87,75
1,34,19
1,44,26
1,80,24
1,56,29
1,80,30
1,52,31
0,79,88
0,84,72
1,57,29
1,35,9
1,5,7
1,24,16
0,68,79
0,80,84
0,93,65
0,65,71
0,80,76
1,53,43
0,78,67
0,58,77
0,60,78
1,49,30
1,77,15
1,22,8
1,66,34
1,69,47
1,55,40
1,14,40
1,78,9
1,15,27
1,36,20
1,69,4
0,78,73
0,67,79
0,70,84
0,88,79
0,74,87
1,32,15
0,85,79
1,75,36
1,50,32
0,49,72
1,49,10
1,80,19
1,45,30
1,43,15
1,52,33
1,9,7
0,72,78
0,69,74
0,90,61
0,83,70
1,98,16
0,94,88
0,61,72
0,57,72
0,72,84
0,70,87
1,22,13
0,64,64
1,14,13
1,26,19
0,64,71
1,89,58
0,52,63
0,46,84
0,84,72
1,19,12
1,13,19
1,45,21
1,1,14
0,79,74
1,7,22
0,65,75
0,93,78
1,93,34
0,80,75
1,25,7
1,18,22
1,73,25
0,80,71
1,45,31
0,58,86
1,69,27
0,86,85
1,15,12
1,7,20
0,71,70
1,77,30
1,39,47
1,64,42
1,88,26
0,75,81
0,80,72
0,73,87
1,10,26
0,93,67
1,68,26
1,67,44
0,57,71
1,55,22
0,98,78
0,88,85
1,59,25
0,92,74
1,75,14
1,49,26
0,79,64
1,37,18
0,61,72
1,94,17
1,24,16
1,31,5
1,37,43
1,43,21
0,57,75
1,94,21
1,26,18
0,75,65
0,74,67
0,91,72
0,60,86
0,82,78
1,50,27
1,40,16
1,91,39
1,28,16
0,90,79
1,3,11
0,73,74
0,73,79
0,60,77
